release_month,count
1900-01-01,186
1900-02-01,19
1900-03-01,10
1900-04-01,24
1900-05-01,43
1900-06-01,13
1900-07-01,12
1900-08-01,19
1900-09-01,24
1900-10-01,16
1900-11-01,34
1900-12-01,21
1901-01-01,57
1901-02-01,16
1901-03-01,18
1901-04-01,14
1901-05-01,33
1901-06-01,14
1901-07-01,19
1901-08-01,27
1901-09-01,16
1901-10-01,27
1901-11-01,25
1901-12-01,26
1902-01-01,31
1902-02-01,21
1902-03-01,9
1902-04-01,18
1902-05-01,53
1902-06-01,17
1902-07-01,12
1902-08-01,20
1902-09-01,14
1902-10-01,23
1902-11-01,12
1902-12-01,15
1903-01-01,67
1903-02-01,6
1903-03-01,8
1903-04-01,44
1903-05-01,37
1903-06-01,27
1903-07-01,22
1903-08-01,45
1903-09-01,24
1903-10-01,33
1903-11-01,27
1903-12-01,25
1904-01-01,40
1904-02-01,16
1904-03-01,18
1904-04-01,33
1904-05-01,49
1904-06-01,25
1904-07-01,15
1904-08-01,19
1904-09-01,20
1904-10-01,16
1904-11-01,33
1904-12-01,15
1905-01-01,61
1905-02-01,21
1905-03-01,18
1905-04-01,9
1905-05-01,28
1905-06-01,18
1905-07-01,17
1905-08-01,22
1905-09-01,43
1905-10-01,21
1905-11-01,41
1905-12-01,27
1906-01-01,48
1906-02-01,16
1906-03-01,18
1906-04-01,25
1906-05-01,32
1906-06-01,30
1906-07-01,18
1906-08-01,34
1906-09-01,26
1906-10-01,27
1906-11-01,39
1906-12-01,24
1907-01-01,60
1907-02-01,33
1907-03-01,17
1907-04-01,22
1907-05-01,33
1907-06-01,20
1907-07-01,29
1907-08-01,25
1907-09-01,30
1907-10-01,20
1907-11-01,35
1907-12-01,24
1908-01-01,106
1908-02-01,29
1908-03-01,23
1908-04-01,35
1908-05-01,39
1908-06-01,27
1908-07-01,30
1908-08-01,37
1908-09-01,47
1908-10-01,33
1908-11-01,47
1908-12-01,39
1909-01-01,132
1909-02-01,27
1909-03-01,27
1909-04-01,34
1909-05-01,49
1909-06-01,34
1909-07-01,38
1909-08-01,37
1909-09-01,28
1909-10-01,42
1909-11-01,55
1909-12-01,55
1910-01-01,201
1910-02-01,46
1910-03-01,46
1910-04-01,57
1910-05-01,65
1910-06-01,59
1910-07-01,47
1910-08-01,55
1910-09-01,75
1910-10-01,79
1910-11-01,71
1910-12-01,71
1911-01-01,258
1911-02-01,71
1911-03-01,79
1911-04-01,63
1911-05-01,72
1911-06-01,76
1911-07-01,69
1911-08-01,55
1911-09-01,91
1911-10-01,83
1911-11-01,85
1911-12-01,93
1912-01-01,336
1912-02-01,79
1912-03-01,101
1912-04-01,93
1912-05-01,106
1912-06-01,91
1912-07-01,97
1912-08-01,111
1912-09-01,117
1912-10-01,138
1912-11-01,131
1912-12-01,146
1913-01-01,330
1913-02-01,93
1913-03-01,111
1913-04-01,113
1913-05-01,127
1913-06-01,113
1913-07-01,111
1913-08-01,92
1913-09-01,108
1913-10-01,123
1913-11-01,107
1913-12-01,146
1914-01-01,278
1914-02-01,117
1914-03-01,113
1914-04-01,119
1914-05-01,100
1914-06-01,114
1914-07-01,107
1914-08-01,120
1914-09-01,110
1914-10-01,145
1914-11-01,152
1914-12-01,149
1915-01-01,261
1915-02-01,124
1915-03-01,124
1915-04-01,130
1915-05-01,130
1915-06-01,128
1915-07-01,107
1915-08-01,113
1915-09-01,138
1915-10-01,134
1915-11-01,168
1915-12-01,132
1916-01-01,301
1916-02-01,105
1916-03-01,129
1916-04-01,119
1916-05-01,119
1916-06-01,129
1916-07-01,134
1916-08-01,120
1916-09-01,119
1916-10-01,141
1916-11-01,119
1916-12-01,147
1917-01-01,305
1917-02-01,122
1917-03-01,110
1917-04-01,129
1917-05-01,111
1917-06-01,103
1917-07-01,110
1917-08-01,85
1917-09-01,124
1917-10-01,130
1917-11-01,111
1917-12-01,105
1918-01-01,311
1918-02-01,85
1918-03-01,111
1918-04-01,91
1918-05-01,86
1918-06-01,83
1918-07-01,75
1918-08-01,83
1918-09-01,121
1918-10-01,108
1918-11-01,89
1918-12-01,118
1919-01-01,336
1919-02-01,97
1919-03-01,103
1919-04-01,99
1919-05-01,79
1919-06-01,104
1919-07-01,77
1919-08-01,90
1919-09-01,82
1919-10-01,106
1919-11-01,99
1919-12-01,111
1920-01-01,331
1920-02-01,90
1920-03-01,102
1920-04-01,92
1920-05-01,100
1920-06-01,79
1920-07-01,83
1920-08-01,101
1920-09-01,116
1920-10-01,130
1920-11-01,131
1920-12-01,116
1921-01-01,302
1921-02-01,99
1921-03-01,95
1921-04-01,106
1921-05-01,109
1921-06-01,93
1921-07-01,89
1921-08-01,60
1921-09-01,119
1921-10-01,118
1921-11-01,108
1921-12-01,123
1922-01-01,293
1922-02-01,90
1922-03-01,112
1922-04-01,99
1922-05-01,79
1922-06-01,89
1922-07-01,62
1922-08-01,68
1922-09-01,103
1922-10-01,126
1922-11-01,102
1922-12-01,126
1923-01-01,248
1923-02-01,99
1923-03-01,109
1923-04-01,98
1923-05-01,75
1923-06-01,78
1923-07-01,73
1923-08-01,75
1923-09-01,105
1923-10-01,108
1923-11-01,106
1923-12-01,109
1924-01-01,257
1924-02-01,105
1924-03-01,113
1924-04-01,88
1924-05-01,88
1924-06-01,82
1924-07-01,62
1924-08-01,82
1924-09-01,113
1924-10-01,120
1924-11-01,128
1924-12-01,114
1925-01-01,325
1925-02-01,96
1925-03-01,104
1925-04-01,98
1925-05-01,88
1925-06-01,83
1925-07-01,96
1925-08-01,87
1925-09-01,122
1925-10-01,145
1925-11-01,134
1925-12-01,131
1926-01-01,334
1926-02-01,106
1926-03-01,129
1926-04-01,105
1926-05-01,107
1926-06-01,90
1926-07-01,82
1926-08-01,106
1926-09-01,131
